field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M
MI2600001,43.1982,-82.4189,2024-05-01,14.15,22.52,6.64,0.45,20.25,72.16
MI2600001,43.1982,-82.4189,2024-05-02,12.43,17.75,6.88,0.31,24.93,74.56
MI2600001,43.1982,-82.4189,2024-05-03,14.62,20.42,10.81,5.43,10.19,80.14
MI2600001,43.1982,-82.4189,2024-05-04,15.93,21.76,10.28,1.64,19.75,84.13
MI2600001,43.1982,-82.4189,2024-05-05,12.73,17.44,5.9,1.14,14.98,85.29
MI2600001,43.1982,-82.4189,2024-05-06,9.73,15.99,4.57,0.56,21.5,69.64
MI2600001,43.1982,-82.4189,2024-05-07,13.21,20.58,4.84,3.98,19.14,69.51
MI2600001,43.1982,-82.4189,2024-05-08,13.95,21.03,7.96,3.21,21.67,78.84
MI2600001,43.1982,-82.4189,2024-05-09,10.15,15.71,6.85,0.1,14.92,79.49
MI2600001,43.1982,-82.4189,2024-05-10,10.96,15.92,4.87,0.06,27.5,68.15
MI2600001,43.1982,-82.4189,2024-05-11,10.79,13.87,7.74,3.22,8.85,81.82
MI2600001,43.1982,-82.4189,2024-05-12,12.53,19.29,6.51,2.05,25.42,71.81
MI2600001,43.1982,-82.4189,2024-05-13,17.64,23.14,12.4,2.38,20.71,75.34
MI2600001,43.1982,-82.4189,2024-05-14,11.82,15.3,8.33,1.14,12.63,78.93
MI2600001,43.1982,-82.4189,2024-05-15,12.25,18.52,8.29,0.24,24.52,74.38
MI2600001,43.1982,-82.4189,2024-05-16,15.8,23.2,7.07,1.35,25.18,70.42
MI2600001,43.1982,-82.4189,2024-05-17,17.31,22.27,13.39,8.16,18.51,83.96
MI2600001,43.1982,-82.4189,2024-05-18,19.15,24.93,13.65,1.7,21.1,79.3
MI2600001,43.1982,-82.4189,2024-05-19,18.89,26.31,13.19,0.66,25.29,81.54
MI2600001,43.1982,-82.4189,2024-05-20,20.36,26.96,14.06,3.39,18.66,77.67
MI2600001,43.1982,-82.4189,2024-05-21,21.68,26.8,17.42,4.66,19.24,78.11
MI2600001,43.1982,-82.4189,2024-05-22,21.7,26.57,15.09,0.59,22.22,74.96
MI2600001,43.1982,-82.4189,2024-05-23,18.17,23.97,11.96,0.94,28.35,64.37
MI2600001,43.1982,-82.4189,2024-05-24,17.95,24.04,11.82,0.19,26.75,65.84
MI2600001,43.1982,-82.4189,2024-05-25,18.4,23.78,12.8,2.83,20.68,75.31
MI2600001,43.1982,-82.4189,2024-05-26,17.71,24.04,11.36,3.98,21.39,71.39
MI2600001,43.1982,-82.4189,2024-05-27,17.45,21.11,13.79,10.71,9.38,86.59
MI2600001,43.1982,-82.4189,2024-05-28,15.21,18.42,12.92,8.04,19.33,86.64
MI2600001,43.1982,-82.4189,2024-05-29,12.93,16.95,7.89,1.82,28.19,72.75
MI2600001,43.1982,-82.4189,2024-05-30,12.74,18.27,6.8,0.03,31.13,61.44
MI2600001,43.1982,-82.4189,2024-05-31,15.94,23.03,8.09,0.0,30.66,51.32
MI2600001,43.1982,-82.4189,2024-06-01,16.45,21.9,10.31,0.56,21.97,63.34
MI2600001,43.1982,-82.4189,2024-06-02,17.77,23.15,13.01,4.24,9.24,85.14
MI2600001,43.1982,-82.4189,2024-06-03,18.13,24.06,11.57,0.09,20.71,75.53
MI2600001,43.1982,-82.4189,2024-06-04,21.54,27.59,15.57,0.45,24.19,76.22
MI2600001,43.1982,-82.4189,2024-06-05,21.05,24.56,16.87,3.51,13.59,87.59
MI2600001,43.1982,-82.4189,2024-06-06,18.45,23.21,14.56,4.86,22.93,73.34
MI2600001,43.1982,-82.4189,2024-06-07,16.31,19.81,12.92,0.72,14.41,74.19
MI2600001,43.1982,-82.4189,2024-06-08,16.57,22.18,11.26,4.25,13.32,74.89
MI2600001,43.1982,-82.4189,2024-06-09,15.85,21.51,11.44,6.79,16.71,77.54
MI2600001,43.1982,-82.4189,2024-06-10,12.88,16.18,9.66,3.29,24.02,69.69
MI2600001,43.1982,-82.4189,2024-06-11,15.27,20.34,7.99,0.0,30.23,63.1
MI2600001,43.1982,-82.4189,2024-06-12,19.88,26.15,12.33,0.35,26.94,66.65
MI2600001,43.1982,-82.4189,2024-06-13,22.48,28.21,17.78,0.84,21.48,76.15
MI2600001,43.1982,-82.4189,2024-06-14,18.3,22.95,13.21,5.09,29.13,72.69
MI2600001,43.1982,-82.4189,2024-06-15,16.55,21.4,11.12,0.0,29.74,67.44
MI2600001,43.1982,-82.4189,2024-06-16,19.66,25.76,13.24,0.04,27.15,60.0
MI2600001,43.1982,-82.4189,2024-06-17,23.72,28.28,18.2,2.5,23.03,81.0
MI2600001,43.1982,-82.4189,2024-06-18,24.59,27.63,21.69,1.09,21.42,83.94
MI2600001,43.1982,-82.4189,2024-06-19,26.01,30.12,21.82,2.64,19.12,74.2
MI2600001,43.1982,-82.4189,2024-06-20,22.82,28.81,17.29,6.59,24.0,82.22
MI2600001,43.1982,-82.4189,2024-06-21,23.8,29.46,17.36,8.89,20.94,80.37
MI2600001,43.1982,-82.4189,2024-06-22,24.79,29.22,20.03,4.92,15.92,79.33
MI2600001,43.1982,-82.4189,2024-06-23,22.51,25.03,18.55,7.04,15.28,79.58
MI2600001,43.1982,-82.4189,2024-06-24,21.16,25.86,16.13,0.63,28.39,72.76
MI2600001,43.1982,-82.4189,2024-06-25,22.93,27.53,18.11,1.08,13.14,81.04
MI2600001,43.1982,-82.4189,2024-06-26,21.5,25.0,16.21,3.05,12.09,85.29
MI2600001,43.1982,-82.4189,2024-06-27,16.57,20.37,13.1,5.83,28.19,69.63
MI2600001,43.1982,-82.4189,2024-06-28,18.19,23.8,11.88,0.65,8.49,70.51
MI2600001,43.1982,-82.4189,2024-06-29,23.01,26.85,18.05,10.75,18.84,88.89
MI2600001,43.1982,-82.4189,2024-06-30,16.9,21.0,12.56,0.15,15.69,73.74
MI2600001,43.1982,-82.4189,2024-07-01,17.12,22.67,10.9,0.03,30.82,68.28
MI2600001,43.1982,-82.4189,2024-07-02,19.43,24.27,12.47,0.01,15.91,66.31
MI2600001,43.1982,-82.4189,2024-07-03,23.16,27.48,18.69,0.12,17.9,79.69
MI2600001,43.1982,-82.4189,2024-07-04,23.34,27.97,17.72,0.62,17.15,75.23
MI2600001,43.1982,-82.4189,2024-07-05,23.04,26.94,18.49,2.86,16.56,76.69
MI2600001,43.1982,-82.4189,2024-07-06,21.41,24.66,18.07,4.58,19.21,81.11
