field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M
MI2600001,43.1982,-82.4189,2019-01-01,-1.12,1.42,-5.0,9.84,2.26,82.59
MI2600001,43.1982,-82.4189,2019-01-02,-2.69,0.37,-6.1,1.91,1.6,86.51
MI2600001,43.1982,-82.4189,2019-01-03,-1.61,1.06,-3.91,1.29,2.09,86.5
MI2600001,43.1982,-82.4189,2019-01-04,0.5,4.91,-2.87,0.22,7.76,90.21
MI2600001,43.1982,-82.4189,2019-01-05,1.62,5.02,-0.21,0.17,6.2,94.65
MI2600001,43.1982,-82.4189,2019-01-06,-0.22,1.76,-3.12,0.69,5.16,80.48
MI2600001,43.1982,-82.4189,2019-01-07,1.14,7.68,-3.42,2.25,2.45,84.79
MI2600001,43.1982,-82.4189,2019-01-08,2.01,4.85,-1.83,3.54,2.78,94.06
MI2600001,43.1982,-82.4189,2019-01-09,-3.5,-1.83,-5.28,7.01,4.08,75.91
MI2600001,43.1982,-82.4189,2019-01-10,-6.75,-5.45,-9.01,2.8,3.65,79.57
MI2600001,43.1982,-82.4189,2019-01-11,-6.03,-2.44,-9.53,0.09,4.43,75.59
MI2600001,43.1982,-82.4189,2019-01-12,-4.96,-3.09,-6.44,0.04,2.09,80.23
MI2600001,43.1982,-82.4189,2019-01-13,-6.65,-3.3,-9.95,0.1,8.4,84.04
MI2600001,43.1982,-82.4189,2019-01-14,-6.43,-1.26,-10.5,0.38,8.23,86.45
MI2600001,43.1982,-82.4189,2019-01-15,-3.28,-1.49,-4.65,0.29,1.63,90.24
MI2600001,43.1982,-82.4189,2019-01-16,-5.2,-2.16,-9.57,1.53,6.98,79.64
MI2600001,43.1982,-82.4189,2019-01-17,-5.56,-1.98,-10.03,0.18,4.05,86.26
MI2600001,43.1982,-82.4189,2019-01-18,-4.04,-1.74,-5.68,0.35,2.27,84.45
MI2600001,43.1982,-82.4189,2019-01-19,-7.44,-5.02,-9.52,2.41,3.88,87.54
MI2600001,43.1982,-82.4189,2019-01-20,-12.18,-8.14,-15.13,14.43,5.29,86.69
MI2600001,43.1982,-82.4189,2019-01-21,-13.2,-10.17,-16.89,2.23,5.43,86.64
MI2600001,43.1982,-82.4189,2019-01-22,-8.84,-1.83,-18.15,1.13,3.35,91.81
MI2600001,43.1982,-82.4189,2019-01-23,0.22,1.92,-3.33,8.45,1.16,95.61
MI2600001,43.1982,-82.4189,2019-01-24,-4.62,-2.83,-6.28,16.11,5.58,89.77
MI2600001,43.1982,-82.4189,2019-01-25,-10.03,-6.27,-13.03,0.58,6.47,87.93
MI2600001,43.1982,-82.4189,2019-01-26,-13.84,-9.56,-19.98,0.26,7.21,87.72
MI2600001,43.1982,-82.4189,2019-01-27,-12.29,-9.14,-19.1,1.02,6.61,86.99
MI2600001,43.1982,-82.4189,2019-01-28,-10.18,-0.37,-21.11,3.64,2.7,94.69
MI2600001,43.1982,-82.4189,2019-01-29,-11.77,-5.68,-15.82,5.59,5.53,90.95
MI2600001,43.1982,-82.4189,2019-01-30,-18.97,-16.26,-20.67,2.7,7.47,97.63
MI2600001,43.1982,-82.4189,2019-01-31,-18.39,-15.65,-20.62,0.47,7.16,97.8
MI2600001,43.1982,-82.4189,2019-02-01,-16.57,-12.08,-19.48,0.2,6.4,89.06
MI2600001,43.1982,-82.4189,2019-02-02,-4.59,0.97,-15.29,0.38,4.07,97.44
MI2600001,43.1982,-82.4189,2019-02-03,2.03,3.49,0.73,0.11,3.89,97.79
MI2600001,43.1982,-82.4189,2019-02-04,3.59,6.02,1.84,2.12,3.37,99.11
MI2600001,43.1982,-82.4189,2019-02-05,-2.64,0.8,-6.26,1.66,6.69,82.05
MI2600001,43.1982,-82.4189,2019-02-06,-0.94,1.62,-4.75,5.96,3.39,92.18
MI2600001,43.1982,-82.4189,2019-02-07,1.41,8.4,-1.77,2.96,2.91,94.18
MI2600001,43.1982,-82.4189,2019-02-08,-7.95,-1.52,-12.84,0.65,6.48,69.22
MI2600001,43.1982,-82.4189,2019-02-09,-9.97,-5.3,-14.01,0.21,9.34,73.0
MI2600001,43.1982,-82.4189,2019-02-10,-7.15,-4.96,-9.5,0.17,4.96,75.42
